id,next_node,question,answer,syn,alt_node,score,effects
1,59,A person who speaks on behalf of others,Advocate,Defender,,10,
59,18,A place where someone can hide safely,Hideout,Safehouse,,10,
18,69,To examine something very carefully,Inspect,Examine,,10,
69,11,A person who cannot be trusted,Deceiver,Betrayer,,10,
11,91,A sudden and unexpected event,Incident,Occasion,,10,
91,107,A person who travels from place to place,Nomad,Rover,,10,
107,52,JUNCTION,,,40,,
52,2,Something that happens repeatedly,Recurring,Repeated,,10,
2,95,A person with great knowledge of a subject,Expert,Master,,10,
95,106,To completely destroy something,Destroy,Ruinate,,10,
106,93,JUNCTION,,,19,,
93,36,A feeling of deep sadness,Sorrow,Grieve,,10,
36,66,A person who strongly disagrees with someone,Opponent,Adversary,,10,
66,111,A place where books can be borrowed,Library,Bookroom,,10,
111,53,JUNCTION,,,50,,
53,1,A place where someone can find safety,Refuge,Shelter,,10,
40,45,A very large amount of something,Abundance,Plentiful,,10,
45,99,To leave a place suddenly,Escape,Depart,,10,
99,12,A person who deliberately causes trouble,Instigator,Agitator,,10,
12,85,Something that cannot be seen,Invisible,Unseen,,10,
85,31,A person unwilling to spend money,Miser,Skinflint,,10,
31,22,A difficult situation with no obvious solution,Quandary,Dilemma,,10,
22,51,A strong desire to achieve something,Ambition,Aspiration,,10,
51,8,To solve something mysterious,Decipher,Interpret,,10,
8,64,A person who watches an event happen,Spectator,Observer,,10,
64,108,To copy someone's actions,Imitate,Recreate,,10,
108,70,JUNCTION,,,34,,
70,21,A very old object made by humans,Artifact,Relic,,10,
21,60,To make something better than it was,Improve,Upgrade,,10,
60,107,A person who pretends to be someone else,Impostor,Pretender,,10,
34,92,A secret place where something is stored,Cache,Store,,10,
92,24,A person who loves collecting books,Bibliophile,Booklover,,10,
24,73,A sudden expression of strong emotion,Outburst,Eruption,,10,
73,46,Something that happens unexpectedly,Accident,Mishap,,10,
46,13,A person who expects bad things to happen,Pessimist,Doubter,,10,
13,63,A person who expects good things to happen,Optimist,Idealist,,10,
63,110,A very short period of time,Moment,Instant,,10,
110,71,JUNCTION,,,72,,
71,7,A person who studies stars and planets,Astronomer,Stargazer,,10,
7,44,A person who studies ancient civilizations,Archaeologist,Antiquarian,,10,
44,109,To speak very quietly,Whisper,Murmur,,10,
109,61,JUNCTION,,,98,,
61,23,To run away from danger,Flee,Bolt,,10,
23,90,A feeling of extreme fear,Terror,Horror,,10,
90,108,A person who is new to something,Novice,Beginner,,10,
72,47,A person with exceptional skill,Master,Expert,,10,
47,74,A person who creates works of art,Artist,Painter,,10,
74,14,A person who writes books or stories,Author,Writer,,10,
14,89,A person who performs tricks for entertainment,Magician,Illusionist,,10,
89,35,A person who travels without a fixed home,Wanderer,Drifter,,10,
35,62,A place where valuable objects are kept,Vault,Strongroom,,10,
62,6,A large collection of valuable objects,Treasure,Riches,,10,
6,57,To look for something carefully,Search,Explore,,10,
57,104,To find something unexpectedly,Discover,Uncover,,10,
104,33,JUNCTION,,,3,,
33,87,To hide something from others,Conceal,Suppress,,10,
87,25,To reveal something that was hidden,Expose,Uncover,,10,
25,110,A person who secretly gathers information,Spy,Agent,,10,
3,86,A person who investigates crimes,Detective,Investigator,,10,
86,32,A person who breaks into buildings to steal,Burglar,Robber,,10,
32,84,A person who steals from others,Thief,Looter,,10,
84,15,A person who betrays their own group,Traitor,Turncoat,,10,
15,56,A secret agreement between people,Pact,Deal,,10,
56,4,A temporary agreement to stop fighting,Truce,Peace,,10,
4,48,A person who settles disagreements,Mediator,Arbitrator,,10,
48,103,A serious disagreement between people,Conflict,Dispute,,10,
103,42,JUNCTION,,,39,,
42,75,A heated argument between people,Dispute,Conflict,,10,
75,105,A person who fights against another,Adversary,Opponent,,10,
105,16,JUNCTION,,,76,,
16,67,A person who supports a particular cause,Advocate,Supporter,,10,
67,104,A person who strongly supports a cause,Fanatic,Zealot,,10,
39,68,A person who doubts accepted beliefs,Skeptic,Doubter,,10,
68,17,A person who believes things will work out,Optimist,Idealist,,10,
17,55,A person who avoids other people,Recluse,Hermit,,10,
55,81,To make something completely clear,Clarify,Explain,,10,
81,5,A person who chooses to live alone,Hermit,Recluse,,10,
5,65,A person who talks excessively,Chatterbox,Windbag,,10,
65,27,A person who talks very little,Taciturn,Reticent,,10,
27,101,A person who easily trusts others,Gullible,Credulous,,10,
101,82,JUNCTION,,,41,,
82,49,A person who is extremely clever,Genius,Prodigy,,10,
49,102,A person who is extremely brave,Fearless,Courageous,,10,
102,10,JUNCTION,,,77,,
10,83,A person unable to make a decision,Indecisive,Hesitant,,10,
83,103,A strong feeling of anger,Anger,Rage,,10,
41,80,A strong feeling of happiness,Happiness,Joyfulness,,10,
80,37,A strong feeling of dislike,Aversion,Disfavor,,10,
37,29,A strong feeling of embarrassment,Shame,Guilt,,10,
29,94,A strong feeling of jealousy,Envy,Jealousy,,10,
94,100,A strong desire for revenge,Vengeance,Retribution,,10,
100,38,A feeling of complete confusion,Bewilderment,Confusion,,10,
38,28,A feeling of great surprise,Astonishment,Amazement,,10,
28,79,A feeling of extreme happiness,Euphoria,Elation,,10,
79,111,A feeling of nervous uncertainty,Anxiety,Tension,,10,
50,97,Something difficult to understand,Enigma,Riddle,,10,
97,112,Something difficult to explain,Mystery,Enigma,,10,
112,54,JUNCTION,,,88,10,
54,30,Something that appears real but is not,Illusion,Delusion,,10,
30,101,Something extremely unusual,Strange,Peculiar,,10,
88,43,Something difficult to find,Scarce,Rare,,10,
43,106,Something that happens only occasionally,Sporadic,Occasional,,10,
19,78,Something that cannot be avoided,Inevitable,Unavoidable,,10,
78,9,Something that cannot be destroyed,Indestructible,Immortal,,10,
9,109,Something that cannot be defeated,Invincible,Unbeatable,,10,
98,58,Something that cannot be noticed,Invisible,Unseen,,10,
58,26,A journey filled with adventures,Odyssey,Adventure,,10,
26,105,A long journey for a specific purpose,Expedition,Exploration,,10,
76,20,A journey taken for pleasure,Excursion,Outing,,10,
20,102,A journey undertaken for a purpose,Mission,Assignment,,10,
77,96,A place where ships can safely stop,Harbor,Seaport,,10,
96,112,A place where travelers can stay overnight,Hostel,Lodging,,10,
